NDVI,NDRE,Label
0.53878117,0.42572987,0
0.60946745,0.40932643,0
0.7059925,0.3908397,0
0.5934641,0.3377229,0
0.40965816,0.36557162,0
0.24172392,0.17563573,1
0.20930232,0.13254511,1
0.20918033,0.16011325,1
0.23700203,0.15693085,1
0.3322314,0.259375,1
0.5253506,0.19729044,0
0.5235294,0.31639135,0
0.47486034,0.32496864,0
0.41401273,0.23874053,0
0.3987034,0.28757927,1
0.37646002,0.22413105,1
0.38850173,0.242885,1
0.39417645,0.27251092,1
0.47277442,0.30026707,0
0.39297658,0.24887556,1
0.36437908,0.25,1
0.318323,0.21851453,1
0.38697878,0.27035177,1
0.40746382,0.2398524,0
0.4410541,0.29430085,0
0.35737282,0.2795144,1
0.4486337,0.2764401,0
0.40837336,0.2761194,0
0.36227757,0.24366471,1
0.41489363,0.2372093,0
0.41057205,0.25839794,0
0.38188976,0.28492984,1
0.3899868,0.28580135,1
0.36328125,0.24865831,1
0.34453782,0.22699386,1
0.30383092,0.21664098,1
0.3215172,0.1891547,1
0.36394948,0.20202361,1
0.37534034,0.19823788,1
0.36269015,0.19396703,1
0.35926774,0.21596725,1
0.38806602,0.20499633,1
0.36406317,0.19253731,1
0.32792208,0.223635,1
0.35285053,0.25697923,1
0.3553719,0.2432805,1
0.35959154,0.25860906,1
0.34542918,0.22335026,1
0.33558863,0.23452158,1
0.32448572,0.20313442,1
0.28306878,0.18945432,1
0.26804122,0.16622223,1
0.2592114,0.16125186,1
0.2554557,0.24111675,1
0.3148405,0.22639069,1
0.42238268,0.17392923,0
0.55942947,0.279168,0
0.39291933,0.2718601,1
0.2798165,0.23793676,1
0.32,0.1702738,1
0.31853628,0.16020058,1
0.2936937,0.16969861,1
0.30773845,0.175519,1
0.30898204,0.17148982,1
0.30849826,0.185029,1
0.29208803,0.1778742,1
0.33933935,0.19060332,1
0.34424314,0.20545073,1
0.36476135,0.20876826,1
0.40709046,0.2480347,0
0.4257544,0.26477605,0
0.45588234,0.30626744,0
0.449917,0.3142714,0
0.4238068,0.29126465,0
0.44786096,0.22893617,0
0.43061888,0.26134405,0
0.4153074,0.27385658,0
0.4381408,0.28214502,0
0.4375,0.20726784,0
0.5154791,0.24054706,0
0.54341465,0.25257325,0
0.5955146,0.30537352,0
0.49697164,0.37793428,0
0.42703387,0.29169056,0
0.3857791,0.19426337,1
0.40333334,0.15224084,0
0.34079045,0.18406323,1
0.2983871,0.19829878,1
0.27063107,0.16268739,1
0.2858958,0.17640221,1
0.30784443,0.16671567,1
0.28617364,0.19796346,1
0.37466308,0.20745783,1
0.531401,0.33473685,0
0.48195207,0.3399478,0
0.44738463,0.26655897,0
0.399876,0.24751382,1
0.3623011,0.21539721,1
0.36430317,0.21668029,1
0.34451613,0.21374491,1
0.35654262,0.25207755,1
0.36522228,0.27617043,1
0.42077088,0.3171216,0
0.37492844,0.29697624,1
0.40401712,0.24170063,0
0.4652921,0.3015873,0
0.40842912,0.23272972,0
0.46520147,0.24031007,0
0.47482315,0.2877907,0
0.4315961,0.29981515,0
0.5489712,0.3305055,0
0.47187927,0.32714903,0
0.40724638,0.2818482,0
0.5014437,0.26060605,0
0.514652,0.28766057,0
0.69758946,0.47743165,0
0.7257103,0.49908593,0
0.60760456,0.42500842,0
0.5633085,0.40077275,0
0.589313,0.34063104,0
0.4870317,0.33678755,0
0.34689134,0.21170935,1
0.24407713,0.1991503,1
0.27542606,0.18006104,1
0.27780947,0.16303219,1
0.2971698,0.18886787,1
0.3641686,0.21639259,1
0.38882282,0.29741737,1
0.5443925,0.35277563,0
0.7736468,0.5581172,0
0.77973086,0.5576923,0
0.814774,0.58383447,0
0.8425849,0.5881933,0
0.84416384,0.61445135,0
0.83484846,0.5441505,0
0.8348624,0.6089109,0
0.85641676,0.6443444,0
0.8281967,0.60552835,0
0.8117344,0.6080114,0
0.78167117,0.5672792,0
0.7788945,0.59011793,0
0.8139402,0.5912154,0
0.8269075,0.61064893,0
0.8032787,0.6070124,0
0.8298996,0.62210256,0
